Name;Series;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Rating;Predecessors_Count;Predecessors_Global_Sales_Mean;Predecessors_JP_Sales_Mean;Predecessors_EU_Sales_Mean;Predecessors_NA_Sales_Mean;Predecessors_Other_Sales_Mean
Tourist Trophy: The Real Riding Simulator;Tourist Trophy;PS2;2006;Racing;Sony Computer Entertainment;0.28;0.22;0.11;0.07;0.68;0.0;0;0.0;0;;0;0;0;0;0;0
LEGO Harry Potter: Years 1-4;LEGO Harry Potter;PSP;2010;Action;Warner Bros. Interactive Entertainment;0.14;0.36;0.0;0.18;0.68;71.0;4;0.0;0;E10+;13;0.9615384615384616;0.0;0.3807692307692308;0.4761538461538461;0.10538461538461541
Skylanders: Trap Team;Skylanders;PS3;2014;Action;Activision;0.27;0.3;0.0;0.11;0.68;0.0;0;7.0;5;E10+;18;0.635;0.0;0.23777777777777778;0.3277777777777777;0.07
.hack//Mutation Part 2;"";PS2;2002;Role-Playing;Atari;0.23;0.18;0.2;0.06;0.68;76.0;24;8.9;81;T;2;0.32;0.085;0.09;0.115;0.03
Cars: Mater-National Championship;Cars;DS;2007;Racing;THQ;0.63;0.0;0.0;0.05;0.68;69.0;7;6.8;5;E;4;0.3025;0.0;0.042499999999999996;0.22749999999999998;0.0325
Kirbys Dream Collection: Special Edition;Kirbys Dream Collection;Wii;2012;Action;Nintendo;0.33;0.0;0.33;0.02;0.68;82.0;6;8.8;37;E10+;0;0;0;0;0;0
Midway Arcade Treasures 2;"";PS2;2004;Misc;Midway Games;0.33;0.26;0.0;0.09;0.68;74.0;28;0.0;0;M;9;0.3422222222222222;0.0;0.09333333333333334;0.21666666666666667;0.027777777777777776
Book of Spells;"";PS3;2012;Action;Sony Computer Entertainment;0.14;0.39;0.0;0.15;0.68;0.0;0;0.0;0;;0;0;0;0;0;0
Return to Castle Wolfenstein: Tides of War;Return to Castle Wolfenstein;X;2003;Shooter;Activision;0.49;0.16;0.0;0.02;0.67;84.0;38;8.8;33;M;1;0.53;0.0;0.2;0.26;0.07
The Evil Within;"";XOne;2014;Action;Bethesda Softworks;0.36;0.25;0.0;0.06;0.67;79.0;24;7.3;432;M;4;0.8475000000000001;0.0625;0.37999999999999995;0.29500000000000004;0.1125
God of War III;"";PS4;2015;Action;Sony Computer Entertainment;0.26;0.29;0.01;0.11;0.67;0.0;0;0.0;0;;1;4.8;0.12;1.34;2.74;0.61
Spider-Man 3;"";PS3;2007;Platform;Activision;0.26;0.29;0.02;0.11;0.67;60.0;33;7.0;40;T;65;0.36874999999999997;0.00125;0.045000000000000005;0.28374999999999995;0.03875000000000001
Street Sk8er;"";PS;1998;Sports;Electronic Arts;0.37;0.25;0.0;0.04;0.67;0.0;0;0.0;0;;102;0.45500000000000007;0.0005555555555555556;0.12388888888888888;0.2908333333333333;0.04083333333333334
F1 2015;"";PS4;2015;Racing;Codemasters;0.09;0.45;0.03;0.1;0.67;65.0;46;6.4;44;E;71;0.5331914893617021;0.10042553191489362;0.22340425531914887;0.1546808510638298;0.05446808510638295
100 Classic Books;"";DS;2008;Misc;Nintendo;0.12;0.53;0.0;0.02;0.67;70.0;7;6.0;12;;1;0.07;0.0;0.01;0.05;0.01
Disney Tangled;"";Wii;2010;Action;Disney Interactive Studios;0.46;0.16;0.0;0.05;0.67;0.0;0;0.0;0;;107;0.35666666666666674;0.006363636363636363;0.12060606060606058;0.19424242424242424;0.03727272727272728
Mass Effect;"";PC;2008;Role-Playing;Electronic Arts;0.0;0.59;0.0;0.08;0.67;89.0;45;8.6;2411;M;12;1.6949999999999998;0.01875;0.54125;0.9649999999999999;0.17125
Contra: Legacy of War;Contra;PS;1996;Shooter;Konami Digital Entertainment;0.37;0.25;0.0;0.04;0.67;0.0;0;0.0;0;;1;0.58;0.0;0.22;0.28;0.07
Fight Night Round 2004;"";X;2004;Fighting;Electronic Arts;0.46;0.18;0.0;0.03;0.67;0.0;0;0.0;0;;10;1.011;0.002;0.203;0.7070000000000001;0.098
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS;Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin;DS;2006;Misc;Rocket Company;0.0;0.0;0.67;0.0;0.67;0.0;0;0.0;0;;0;0;0;0;0;0
Spice World;"";PS;1998;Action;Sony Computer Entertainment;0.37;0.25;0.0;0.04;0.67;0.0;0;0.0;0;;274;0.524418604651163;0.05604651162790698;0.13488372093023254;0.28651162790697665;0.046511627906976764
Star Wars: Republic Commando;Star Wars;X;2005;Shooter;Activision;0.48;0.17;0.0;0.02;0.67;78.0;54;8.9;89;T;47;1.1275;0.004375;0.345;0.68625;0.09375000000000003
Armored Core 3;"";PS2;2002;Simulation;Metro 3D;0.22;0.17;0.23;0.06;0.67;74.0;23;9.0;33;T;21;0.22285714285714284;0.09904761904761905;0.03666666666666668;0.07285714285714288;0.014761904761904764
The LEGO Movie Videogame;"";PS4;2014;Action;Warner Bros. Interactive Entertainment;0.24;0.31;0.01;0.11;0.67;71.0;31;7.1;98;E10+;7;0.6428571428571429;0.014285714285714287;0.26285714285714284;0.2985714285714286;0.07
Taiko no Tatsujin Wii;"";Wii;2008;Misc;Namco Bandai Games;0.0;0.0;0.67;0.0;0.67;0.0;0;0.0;0;;4;0.32;0.32;0.0;0.0;0.0
London 2012: The Official Video Game of the Olympic Games;London 2012;PS3;2012;Sports;Sega;0.06;0.48;0.0;0.14;0.67;0.0;0;0.0;0;;1;0.58;0.0;0.44;0.07;0.07
Turok;"";PS3;2008;Action;Touchstone;0.35;0.21;0.01;0.1;0.67;67.0;38;6.0;39;M;10;0.38;0.005;0.10500000000000001;0.23;0.035
Red Steel;"";Wii;2006;Shooter;Ubisoft;0.54;0.03;0.04;0.05;0.67;63.0;54;6.8;121;T;1;0.62;0.01;0.21;0.35;0.06
Wild ARMs 2;"";PS;1999;Role-Playing;Sony Computer Entertainment;0.19;0.13;0.31;0.04;0.67;0.0;0;0.0;0;;7;0.33428571428571424;0.13285714285714287;0.07285714285714286;0.10714285714285714;0.025714285714285717
Summer Sports: Paradise Island (Others sales);Summer Sports;Wii;2008;Sports;Ubisoft;0.0;0.66;0.0;0.01;0.67;0.0;0;0.0;0;;1;0.54;0.0;0.01;0.48;0.04
Need for Speed: Shift 2 Unleashed;Need for Speed;PS3;2011;Racing;Electronic Arts;0.2;0.35;0.0;0.12;0.67;0.0;0;0.0;0;;43;1.1376315789473683;0.013157894736842105;0.41315789473684217;0.5376315789473683;0.17447368421052625
The Fairly Odd Parents: Breakin Da Rules;The Fairly Odd Parents;PS2;2003;Platform;THQ;0.33;0.25;0.0;0.09;0.67;0.0;0;0.0;0;;9;0.29;0.0;0.07833333333333332;0.19833333333333333;0.011666666666666665
Virtua Tennis: World Tour (US & Others sales);Virtua Tennis;PSP;2005;Sports;Sega;0.16;0.36;0.0;0.14;0.67;0.0;0;0.0;0;;1;0.02;0.02;0.0;0.0;0.0
Unreal Tournament III;"";PS3;2007;Shooter;Midway Games;0.33;0.23;0.0;0.1;0.67;86.0;42;7.7;127;M;2;0.265;0.005;0.11000000000000001;0.125;0.030000000000000002
Lalaloopsy;"";DS;2011;Simulation;Activision;0.51;0.1;0.0;0.06;0.67;0.0;0;0.0;0;E;0;0;0;0;0;0
Adventures of Tron;"";2600;1981;Action;Mattel Interactive;0.63;0.03;0.0;0.01;0.67;0.0;0;0.0;0;;62;0.6631818181818181;0.005454545454545454;0.18863636363636357;0.3777272727272727;0.09136363636363636
The Sims 3;"";DS;2010;Simulation;Electronic Arts;0.38;0.22;0.0;0.06;0.67;73.0;9;6.4;20;E;80;0.8507792207792209;0.0009090909090909092;0.36675324675324694;0.4022077922077924;0.0802597402597402
The Sims 3: High-End Loft Stuff;The Sims 3;PC;2010;Simulation;Electronic Arts;0.01;0.54;0.0;0.11;0.67;0.0;0;6.5;17;T;3;0.2933333333333334;0.0;0.20333333333333334;0.04;0.05000000000000001
Napoleon: Total War;Napoleon;PC;2010;Strategy;Sega;0.02;0.53;0.0;0.12;0.67;81.0;56;7.9;517;T;0;0;0;0;0;0
Rocksmith 2014;"";PC;2013;Misc;Ubisoft;0.37;0.24;0.0;0.06;0.67;0.0;0;0.0;0;;9;0.6011111111111113;0.01666666666666667;0.13777777777777775;0.3744444444444444;0.07333333333333332
Fossil Fighters: Champions;Fossil Fighters;DS;2010;Role-Playing;Nintendo;0.31;0.0;0.34;0.02;0.67;68.0;8;7.1;11;E;1;0.37;0.23;0.04;0.09;0.01
Command & Conquer: Red Alert 3;Command & Conquer;PC;2008;Strategy;Electronic Arts;0.01;0.64;0.0;0.02;0.67;0.0;0;0.0;0;;9;0.8533333333333333;0.0;0.24333333333333332;0.5777777777777778;0.03666666666666667
The Chronicles of Narnia: The Lion, The Witch and The Wardrobe;The Chronicles of Narnia;GBA;2005;Action;Disney Interactive Studios;0.48;0.18;0.0;0.01;0.67;66.0;7;6.8;5;E;9;0.2677777777777778;0.0;0.03555555555555556;0.20888888888888887;0.024444444444444442
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou;Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft;DS;2006;Misc;IE Institute;0.0;0.0;0.66;0.0;0.66;0.0;0;0.0;0;;1;0.01;0.01;0.0;0.0;0.0
Disney Infinity 2.0: Marvel Super Heroes;Disney Infinity 2.0;WiiU;2014;Action;Disney Interactive Studios;0.38;0.22;0.0;0.06;0.66;0.0;0;0.0;0;;5;0.6519999999999999;0.0;0.22799999999999998;0.33999999999999997;0.088
Madden NFL 10;"";PSP;2009;Sports;Electronic Arts;0.5;0.08;0.0;0.08;0.66;0.0;0;7.8;5;E;96;1.3021875;0.0014583333333333332;0.07770833333333331;1.1034374999999998;0.11989583333333326
Pro Pinball: Big Race USA;Pro Pinball;PS;1999;Simulation;Take-Two Interactive;0.37;0.25;0.0;0.04;0.66;69.0;4;0.0;0;E;0;0;0;0;0;0
NFL Street;"";X;2004;Sports;Electronic Arts;0.49;0.15;0.0;0.02;0.66;81.0;38;8.8;9;E;7;0.6714285714285715;0.0;0.13142857142857142;0.4714285714285714;0.06999999999999999
Final Fantasy Crystal Chronicles: Ring of Fates;Final Fantasy Crystal Chronicles;DS;2007;Role-Playing;Square Enix;0.22;0.01;0.42;0.02;0.66;77.0;41;7.1;26;E10+;3;0.36;0.16;0.06;0.125;0.02
Blazing Angels: Squadrons of WWII;Blazing Angels;PS3;2006;Simulation;Ubisoft;0.35;0.22;0.0;0.1;0.66;67.0;26;6.9;9;T;4;0.33999999999999997;0.0;0.02;0.295;0.0225
Bakugan: Battle Brawlers;Bakugan;Wii;2009;Action;Activision;0.59;0.03;0.0;0.05;0.66;62.0;12;7.2;11;E;6;0.48200000000000004;0.0;0.046;0.396;0.04
WWE SmackDown vs. RAW 2007;"";PSP;2006;Fighting;THQ;0.33;0.2;0.0;0.14;0.66;78.0;13;8.1;21;T;29;1.1434482758620688;0.005862068965517241;0.3362068965517241;0.586206896551724;0.2141379310344827
Country Dance;"";Wii;2011;Misc;Funbox Media;0.58;0.04;0.0;0.05;0.66;0.0;0;0.0;0;E10+;2;0.45;0.0;0.0;0.43;0.03
Tony Hawks Proving Ground;"";PS2;2007;Sports;Activision;0.55;0.02;0.0;0.09;0.66;65.0;6;6.6;17;T;13;0.6676923076923077;0.0007692307692307692;0.14076923076923079;0.48615384615384616;0.04
The Darkness;"";PS3;2007;Shooter;Take-Two Interactive;0.2;0.33;0.0;0.13;0.66;80.0;35;7.7;109;M;136;0.41764705882352937;0.003529411764705882;0.1223529411764706;0.2576470588235294;0.034705882352941184
MLB 2004;"";PS2;2003;Sports;Sony Computer Entertainment;0.32;0.25;0.0;0.08;0.66;61.0;21;7.9;9;E;59;0.37228070175438593;0.00368421052631579;0.055789473684210514;0.2729824561403509;0.0394736842105263
BioShock Infinite;"";PC;2013;Shooter;Take-Two Interactive;0.29;0.3;0.0;0.07;0.66;94.0;68;8.5;7350;M;4;1.815;0.03;0.595;0.97;0.22000000000000003
Naruto Shippuden: Ultimate Ninja 4;Naruto Shippuden;PS2;2007;Fighting;Atari;0.26;0.01;0.13;0.26;0.66;0.0;0;0.0;0;;28;0.42181818181818187;0.08227272727272729;0.11454545454545455;0.18136363636363637;0.045909090909090906
Tiger Woods PGA Tour 2000;"";PS;1998;Sports;Electronic Arts;0.37;0.25;0.0;0.04;0.66;0.0;0;0.0;0;;55;0.5567272727272726;0.0;0.14709090909090908;0.34618181818181815;0.06181818181818181
Darkstone;"";PS;2001;Role-Playing;Electronic Arts;0.37;0.25;0.0;0.04;0.66;58.0;10;8.4;13;T;0;0;0;0;0;0
LEGO Harry Potter: Years 5-7;LEGO Harry Potter;DS;2011;Action;Warner Bros. Interactive Entertainment;0.34;0.25;0.0;0.07;0.66;69.0;4;0.0;0;E10+;13;0.963076923076923;0.0;0.38923076923076927;0.46076923076923076;0.11384615384615386
NCAA March Madness 2003;"";PS2;2002;Sports;Electronic Arts;0.32;0.25;0.0;0.08;0.66;74.0;13;8.0;27;E;11;0.3763636363636364;0.0;0.08181818181818182;0.25545454545454543;0.040909090909090916
Finding Nemo;"";X;2003;Action;THQ;0.48;0.16;0.0;0.02;0.66;63.0;11;0.0;0;E;7;1.2057142857142857;0.012857142857142857;0.35714285714285715;0.777142857142857;0.05714285714285715
Thrillville;"";PS2;2006;Strategy;Atari;0.55;0.02;0.0;0.09;0.66;69.0;32;2.9;52;E10+;6;0.22666666666666668;0.0;0.034999999999999996;0.16833333333333333;0.02
Lollipop Chainsaw;"";PS3;2012;Action;Warner Bros. Interactive Entertainment;0.27;0.2;0.11;0.08;0.66;67.0;37;7.1;199;M;1;0.48;0.02;0.12;0.31;0.04
Jikkyou World Soccer 2000 Final Edition;"";PS2;2000;Sports;Konami Digital Entertainment;0.0;0.0;0.66;0.0;0.66;0.0;0;0.0;0;;0;0;0;0;0;0
Hidden Objects: Mystery Stories;Hidden Objects;DS;2009;Adventure;GSP;0.18;0.43;0.0;0.05;0.66;0.0;0;0.0;0;;0;0;0;0;0;0
Madagascar;"";GC;2005;Platform;Activision;0.52;0.13;0.0;0.02;0.66;70.0;21;0.0;0;E10+;23;0.6950000000000001;0.0;0.195;0.46499999999999997;0.0325
Tom Clancys EndWar;"";PS3;2008;Strategy;Ubisoft;0.33;0.22;0.01;0.11;0.66;76.0;33;6.6;42;T;39;0.2466666666666667;0.0033333333333333335;0.06166666666666667;0.1633333333333333;0.02333333333333333
Castlevania: Lords of Shadow;Castlevania;X360;2010;Action;Konami Digital Entertainment;0.42;0.17;0.01;0.05;0.66;83.0;70;7.8;239;M;19;0.31100000000000005;0.02;0.11600000000000002;0.137;0.038
Puzzler Brain Games;"";Wii;2012;Puzzle;Namco Bandai Games;0.0;0.0;0.66;0.0;0.66;0.0;0;0.0;0;;0;0;0;0;0;0
NHL 10;"";X360;2009;Sports;Electronic Arts;0.51;0.1;0.0;0.06;0.66;88.0;52;8.4;71;E10+;111;0.3238679245283019;0.0;0.08367924528301877;0.2089622641509435;0.030471698113207497
TV Show King Party;"";Wii;2008;Puzzle;Ubisoft;0.18;0.4;0.0;0.08;0.66;0.0;0;0.0;0;T;0;0;0;0;0;0
Metro: Last Light;Metro;PS4;2014;Action;Deep Silver;0.22;0.3;0.04;0.1;0.66;0.0;0;0.0;0;;4;0.3175;0.0075;0.14250000000000002;0.13;0.037500000000000006
Dragon Quest Monsters: Caravan Heart;Dragon Quest Monsters;GBA;2003;Role-Playing;Enix Corporation;0.0;0.0;0.64;0.02;0.66;0.0;0;0.0;0;;5;1.1875;1.0775;0.022500000000000003;0.08;0.01
Strawberry Shortcake: Summertime Adventure;Strawberry Shortcake;GBA;2004;Adventure;Majesco Entertainment;0.47;0.18;0.0;0.01;0.66;0.0;0;0.0;0;E;2;0;0;0;0;0
Street Fighter Anniversary Collection;"";PS2;2004;Fighting;Capcom;0.32;0.25;0.0;0.08;0.66;78.0;30;8.7;20;T;1;0.15;0.0;0.03;0.11;0.01
Legend of Legaia;"";PS;1998;Role-Playing;Sony Computer Entertainment;0.37;0.25;0.0;0.04;0.66;0.0;0;0.0;0;;125;0.4621739130434782;0.1317391304347826;0.08869565217391305;0.20826086956521744;0.034782608695652174
NHL 13;"";X360;2012;Sports;Electronic Arts;0.51;0.1;0.0;0.05;0.66;83.0;44;6.6;86;E10+;111;0.3238679245283019;0.0;0.08367924528301877;0.2089622641509435;0.030566037735849007
Rayman Legends;"";WiiU;2013;Platform;Ubisoft;0.25;0.33;0.03;0.05;0.66;92.0;35;8.7;467;E10+;5;0.514;0.0;0.306;0.138;0.074
The Sims: Bustin Out;The Sims;GC;2003;Simulation;Electronic Arts;0.43;0.2;0.0;0.03;0.66;81.0;30;9.0;15;T;13;1.6208333333333333;0.0;0.535;1.015;0.07166666666666667
Keystone Kapers;"";2600;1982;Action;Activision;0.62;0.04;0.0;0.01;0.66;0.0;0;0.0;0;;0;0;0;0;0;0
Ratatouille;"";PSP;2007;Action;THQ;0.22;0.27;0.0;0.16;0.66;64.0;7;7.1;7;E;9;0.46875;0.0;0.135;0.22625;0.10375000000000001
The Crew;"";XOne;2014;Racing;Ubisoft;0.27;0.34;0.0;0.05;0.66;64.0;18;5.9;177;T;9;0.5525;0.0075;0.35000000000000003;0.12;0.07750000000000001
Shrek: Hassle at the Castle;Shrek;GBA;2002;Action;TDK Mediactive;0.47;0.17;0.0;0.01;0.66;71.0;7;7.4;5;E;6;0;0;0;0;0
Plants vs. Zombies: Garden Warfare;Plants vs. Zombies;PS3;2014;Shooter;Electronic Arts;0.22;0.32;0.01;0.11;0.66;0.0;0;7.8;24;E10+;7;0.5142857142857143;0.0014285714285714286;0.21;0.24428571428571427;0.05714285714285714
Suikoden IV;"";PS2;2004;Role-Playing;Konami Digital Entertainment;0.17;0.13;0.3;0.05;0.66;63.0;44;7.4;48;T;0;0;0;0;0;0
Gods Eater Burst;"";PSP;2010;Action;Namco Bandai Games;0.03;0.0;0.62;0.0;0.66;71.0;30;7.9;35;T;3;0.02;0.02;0.0;0.0;0.0
Fist of the North Star: Kens Rage;Fist of the North Star;PS3;2010;Action;Ubisoft Annecy;0.06;0.03;0.55;0.01;0.66;60.0;30;6.9;29;M;4;0.16;0.06;0.02;0.07;0.01
One Piece: Pirate Warriors 2;One Piece;PS3;2013;Action;Namco Bandai Games;0.0;0.19;0.42;0.05;0.66;71.0;35;7.8;61;T;21;0.3411111111111111;0.20111111111111113;0.08444444444444446;0.03222222222222222;0.025555555555555557
Disney's Kim Possible 2: Drakkens Demise;Disney's Kim Possible 2;GBA;2004;Platform;Disney Interactive Studios;0.47;0.17;0.0;0.01;0.66;77.0;8;0.0;0;E;0;0;0;0;0;0
Um Jammer Lammy;"";PS;1998;Misc;Sony Computer Entertainment;0.12;0.08;0.41;0.04;0.66;0.0;0;0.0;0;;0;0;0;0;0;0
Brothers In Arms: Road to Hill 30;Brothers In Arms;X;2005;Shooter;Ubisoft;0.49;0.14;0.0;0.02;0.66;88.0;64;8.0;69;M;4;0.42250000000000004;0.0;0.05750000000000001;0.305;0.055
Taiko no Tatsujin DS: Touch de Dokodon!;Taiko no Tatsujin DS;DS;2007;Misc;Namco Bandai Games;0.0;0.0;0.66;0.0;0.66;0.0;0;0.0;0;;1;0.42;0.42;0.0;0.0;0.0
Animaniacs Ten Pin Alley;"";PS;1998;Sports;ASC Games;0.36;0.25;0.0;0.04;0.66;0.0;0;0.0;0;;6;0.02;0.0;0.0;0.02;0.0
Mortal Kombat;"";PSV;2012;Fighting;Warner Bros. Interactive Entertainment;0.42;0.13;0.0;0.1;0.65;85.0;51;7.8;192;M;35;1.1318181818181814;0.0006060606060606061;0.24151515151515152;0.803030303030303;0.08515151515151516
Freedom Wars;"";PSV;2014;Role-Playing;Sony Computer Entertainment;0.15;0.1;0.32;0.08;0.65;73.0;39;8.3;266;T;0;0;0;0;0;0
Kung Fu Panda;"";PS2;2008;Action;Activision;0.24;0.0;0.0;0.41;0.65;73.0;6;8.6;5;E10+;14;0.47357142857142864;0.0;0.15999999999999998;0.26357142857142857;0.047857142857142855
Ratchet & Clank: Into the Nexus;Ratchet & Clank;PS3;2013;Shooter;Sony Computer Entertainment;0.3;0.25;0.0;0.1;0.65;0.0;0;0.0;0;;9;0;0;0;0;0
Evolve;"";XOne;2015;Shooter;Take-Two Interactive;0.39;0.2;0.0;0.06;0.65;74.0;31;5.1;337;M;16;1.3225;0.0375;0.3325;0.8912500000000001;0.06375
The Last Story;"";Wii;2011;Role-Playing;Nintendo;0.3;0.13;0.18;0.04;0.65;80.0;61;8.4;179;T;0;0;0;0;0;0
Club Penguin: Elite Penguin Force - Herberts Revenge;Club Penguin;DS;2010;Adventure;Disney Interactive Studios;0.39;0.21;0.0;0.06;0.65;0.0;0;0.0;0;;2;3.14;0.0;0.97;1.87;0.3
Shaun White Snowboarding;"";PS3;2008;Sports;Ubisoft;0.31;0.24;0.01;0.1;0.65;63.0;30;6.3;26;T;6;0.6033333333333334;0.0;0.165;0.37833333333333324;0.05833333333333334
The Biggest Loser: Challenge;The Biggest Loser;Wii;2010;Sports;THQ;0.48;0.12;0.0;0.05;0.65;0.0;0;0.0;0;E;1;0.89;0.0;0.1;0.73;0.06
Radiata Stories;"";PS2;2005;Role-Playing;Square Enix;0.18;0.14;0.29;0.05;0.65;74.0;36;9.1;55;T;62;0.41333333333333333;0.15666666666666665;0.05611111111111111;0.17888888888888888;0.022222222222222223
Peppa Pig: Fun and Games;Peppa Pig;DS;2010;Misc;Ubisoft;0.0;0.57;0.0;0.09;0.65;0.0;0;0.0;0;;4;0.4225;0.0;0.3825;0.0;0.0375
LEGO Jurassic World;"";3DS;2015;Action;Warner Bros. Interactive Entertainment;0.31;0.25;0.03;0.05;0.65;0.0;0;7.2;11;E10+;7;0.6071428571428571;0.0071428571428571435;0.2514285714285714;0.2728571428571428;0.07714285714285715
Far Cry 4;"";PC;2014;Shooter;Ubisoft;0.16;0.45;0.0;0.05;0.65;80.0;17;6.7;1079;M;18;1.3566666666666665;0.026666666666666672;0.6608333333333334;0.48999999999999994;0.18083333333333332
Wario: Master of Disguise;Wario;DS;2007;Platform;Nintendo;0.28;0.02;0.33;0.03;0.65;60.0;35;7.4;19;E10+;0;0;0;0;0;0
F-Zero GX;"";GC;2003;Racing;Nintendo;0.41;0.11;0.12;0.02;0.65;89.0;50;8.6;163;T;0;0;0;0;0;0
Disney's Chicken Little;"";PS2;2005;Platform;Disney Interactive Studios;0.32;0.25;0.0;0.08;0.65;60.0;20;8.9;7;E10+;5;0.36999999999999994;0.0;0.08666666666666667;0.27;0.006666666666666667
Scene It? Box Office Smash;"";X360;2008;Misc;Microsoft Game Studios;0.33;0.25;0.0;0.07;0.65;76.0;32;7.4;25;T;0;0;0;0;0;0
Yoshi Topsy-Turvy;"";GBA;2004;Platform;Nintendo;0.25;0.09;0.3;0.01;0.65;60.0;23;6.6;5;E;12;2.0025;0.63625;0.33875000000000005;0.9537500000000001;0.07625
Metal Gear Solid V: The Phantom Pain;Metal Gear Solid V;PS3;2015;Action;Konami Digital Entertainment;0.22;0.13;0.23;0.07;0.65;0.0;0;7.2;175;M;11;0.629090909090909;0.0881818181818182;0.2290909090909091;0.23181818181818184;0.07636363636363637
Monster Jam: Maximum Destruction;Monster Jam;PS2;2002;Racing;Ubisoft;0.32;0.25;0.0;0.08;0.65;47.0;11;6.0;6;T;11;0.23;0.0;0.011818181818181818;0.20090909090909095;0.017272727272727273
Cartoon Network Block Party / Cartoon Network Speedway Double Pack;"";GBA;2005;Misc;THQ;0.47;0.17;0.0;0.01;0.65;0.0;0;0.0;0;;0;0;0;0;0;0
Tiger Woods PGA Tour 09;"";PS3;2008;Sports;Electronic Arts;0.34;0.22;0.0;0.1;0.65;82.0;34;7.2;9;E;55;0.5569090909090909;0.0;0.14763636363636365;0.34672727272727266;0.060727272727272706
World of Dragon Warrior - Torneko: The Last Hope;World of Dragon Warrior - Torneko;PS;1999;Role-Playing;Enix Corporation;0.02;0.01;0.58;0.04;0.65;0.0;0;0.0;0;;0;0;0;0;0;0
Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions);Transformers;PSP;2007;Action;Activision;0.23;0.26;0.0;0.16;0.65;0.0;0;0.0;0;;14;0.624;0.002;0.122;0.44399999999999995;0.057999999999999996
Tiger Woods PGA Tour 09;"";X360;2008;Sports;Electronic Arts;0.35;0.23;0.0;0.07;0.65;84.0;41;7.8;29;E;55;0.5569090909090909;0.0;0.14745454545454545;0.34654545454545455;0.061272727272727256
Assassins Creed IV: Black Flag;Assassins Creed IV;PC;2013;Action;Ubisoft;0.22;0.38;0.0;0.05;0.65;84.0;10;7.7;1483;M;5;2.482;0.04;0.95;1.19;0.304
Advance Wars 2: Black Hole Rising;Advance Wars 2;GBA;2003;Strategy;Nintendo;0.47;0.17;0.0;0.01;0.65;89.0;34;9.4;97;E;0;0;0;0;0;0
Borderlands 2;"";PSV;2014;Shooter;Take-Two Interactive;0.33;0.16;0.01;0.15;0.65;64.0;31;7.6;358;M;12;1.2566666666666666;0.021666666666666667;0.3741666666666666;0.7183333333333332;0.1416666666666667
Centipede;"";PS;1998;Shooter;Atari;0.36;0.25;0.0;0.04;0.65;0.0;0;0.0;0;;4;0.48666666666666675;0.0;0.02666666666666667;0.45;0.0033333333333333335
Drakengard;"";PS2;2003;Role-Playing;Square Enix;0.19;0.15;0.26;0.05;0.65;63.0;55;9.1;89;M;2;0.225;0.095;0.025;0.08;0.02
SingStar Pop Hits;"";PS2;2007;Misc;Sony Computer Entertainment;0.0;0.5;0.0;0.15;0.65;0.0;0;0.0;0;;0;0;0;0;0;0
Kung-Fu Master;"";2600;1987;Action;Activision;0.6;0.04;0.0;0.01;0.65;0.0;0;0.0;0;;0;0;0;0;0;0
Champions: Return to Arms;Champions;PS2;2005;Role-Playing;Sony Online Entertainment;0.32;0.25;0.0;0.08;0.65;77.0;48;8.8;43;T;0;0;0;0;0;0
Harry Potter and the Goblet of Fire;"";PS2;2005;Action;Electronic Arts;0.54;0.02;0.0;0.09;0.65;68.0;29;6.7;48;E10+;6;0.2816666666666667;0.0;0.051666666666666666;0.2183333333333333;0.011666666666666667
Toy Story 3: The Video Game;Toy Story 3;PSP;2010;Action;Disney Interactive Studios;0.27;0.24;0.0;0.14;0.65;0.0;0;0.0;0;;4;1.3199999999999998;0.005;0.5575;0.6100000000000001;0.14750000000000002
SingStar R&;"";PS2;2007;Misc;Sony Computer Entertainment;0.0;0.05;0.0;0.6;0.65;0.0;0;0.0;0;;0;0;0;0;0;0
Mary-Kate and Ashley: Magical Mystery Mall;Mary-Kate and Ashley;PS;2000;Adventure;Acclaim Entertainment;0.36;0.24;0.0;0.04;0.65;0.0;0;0.0;0;;5;0;0;0;0;0
MX vs. ATV Untamed;"";PSP;2007;Racing;THQ;0.35;0.18;0.0;0.12;0.65;59.0;12;0.0;0;E;5;0.394;0.0;0.034;0.32200000000000006;0.038
007: Quantum of Solace;007;Wii;2008;Action;Activision;0.29;0.28;0.01;0.07;0.65;54.0;11;7.5;26;T;5;0.6419999999999999;0.006;0.20800000000000002;0.308;0.12000000000000002
Tiger Woods PGA Tour 10;"";X360;2009;Sports;Electronic Arts;0.39;0.2;0.0;0.06;0.65;80.0;51;6.9;20;E;55;0.5569090909090909;0.0;0.14800000000000002;0.34581818181818175;0.06145454545454545
